epoch,train_loss,val_loss,best_val_loss,improved,epochs_without_improvement,lr,seconds
1,4.120743155733609,3.455992037736917,3.455992037736917,True,0,0.0004,305.0609200000763
2,3.29505610720181,3.1284050368055514,3.1284050368055514,True,0,0.0004,304.3598840236664
3,2.9990128708292425,2.987213004993487,2.987213004993487,True,0,0.0004,303.82468247413635
4,2.811905759738198,2.893785709067236,2.893785709067236,True,0,0.0004,302.93380641937256
5,2.6645057669072263,2.840025796165949,2.840025796165949,True,0,0.0004,307.8441963195801
6,2.5502285708242387,2.8042444035976746,2.8042444035976746,True,0,0.0004,303.6264247894287
7,2.450066854704672,2.7900512248654907,2.7900512248654907,True,0,0.0004,309.25393652915955
8,2.3653693402499787,2.7778719407093675,2.7778719407093675,True,0,0.0004,309.70887899398804
9,2.2855018222255747,2.764819631093665,2.764819631093665,True,0,0.0004,307.4756019115448
10,2.219012052265566,2.760380805293216,2.760380805293216,True,0,0.0004,310.9421865940094
11,2.1544732028233216,2.7555754365800302,2.7555754365800302,True,0,0.0004,307.687388420105
12,2.096185039101379,2.766896700557274,2.7555754365800302,False,1,0.0004,306.0832176208496
13,2.041994078581267,2.759123705610444,2.7555754365800302,False,2,0.0002,305.4463131427765
14,1.951549114957293,2.760510227348231,2.7555754365800302,False,3,0.0002,307.86024498939514
15,1.9155812982811349,2.7653530730476863,2.7555754365800302,False,4,0.0001,309.1131865978241
